League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
CHILE 1,2025-04-20,16:00,O'Higgins,Palestino,2.2,3.4,3.0,https://www.radarfutebol.com/radar/ohiggins-palestino/13443535,13443535
BOLIVIA 1,2025-04-20,16:00,Guabira,Bolivar,3.5,4.0,1.85,https://www.radarfutebol.com/radar/guabira-bolivar/13735733,13735733
CHILE 2,2025-04-20,16:00,Magallanes,Rangers,2.18,3.2,3.3,https://www.radarfutebol.com/radar/deportes-magallanes-rangers-de-talca/13761954,13761954
BRAZIL 1,2025-04-20,16:00,Sao Paulo,Santos,2.0,3.2,4.1,https://www.radarfutebol.com/radar/sao-paulo-santos/13473381,13473381
COLOMBIA 1,2025-04-20,16:00,Envigado,Deportes Tolima,5.0,3.25,1.8,https://www.radarfutebol.com/radar/envigado-fc-deportes-tolima/13358745,13358745
PORTUGAL 2,2025-04-20,16:30,Tondela,Vizela,2.9,2.5,2.88,https://www.radarfutebol.com/radar/tondela-vizela/12514383,12514383
VENEZUELA 1,2025-04-20,16:30,Rayo Zuliano,Universidad Central,3.15,2.87,2.35,https://www.radarfutebol.com/radar/rayo-zuliano-universidad-central/13389310,13389310
ARGENTINA 2,2025-04-20,17:00,Gimnasia y Tiro,Deportivo Madryn,2.55,2.8,3.2,https://www.radarfutebol.com/radar/gimnasia-y-tiro-de-salta-deportivo-madryn/13445492,13445492
ARGENTINA 2,2025-04-20,17:00,Patronato,Colegiales,1.85,3.1,5.0,https://www.radarfutebol.com/radar/colegiales-patronato/13445496,13445496
ARGENTINA 2,2025-04-20,17:10,Nueva Chicago,Deportivo Moron,2.1,3.1,3.8,https://www.radarfutebol.com/radar/deportivo-moron-nueva-chicago/13445501,13445501
PERU 1,2025-04-20,17:30,Sport Huancayo,Comerciantes Unidos,1.48,4.2,7.0,https://www.radarfutebol.com/radar/comerciantes-unidos-sport-huancayo/13679427,13679427
BOLIVIA 1,2025-04-20,18:15,Real Oruro,Oriente Petrolero,1.6,4.0,5.25,https://www.radarfutebol.com/radar/cdt-real-oruro-oriente-petrolero/13737743,13737743
BRAZIL 1,2025-04-20,18:30,Fluminense,Vitoria,1.6,3.5,6.5,https://www.radarfutebol.com/radar/vitoria-fluminense/13473378,13473378
BRAZIL 1,2025-04-20,18:30,Fortaleza,Palmeiras,3.9,3.25,2.05,https://www.radarfutebol.com/radar/fortaleza-palmeiras/13473386,13473386
VENEZUELA 1,2025-04-20,19:00,Portuguesa,Metropolitanos,2.52,3.15,2.67,https://www.radarfutebol.com/radar/metropolitanos-portuguesa-fc/13389312,13389312
URUGUAY 1,2025-04-20,19:30,Defensor Sp.,Progreso,1.53,3.7,7.0,https://www.radarfutebol.com/radar/progreso-defensor-sporting/13750159,13750159
MEXICO 1,2025-04-20,20:00,Santos Laguna,Club Tijuana,2.55,3.5,2.63,https://www.radarfutebol.com/radar/club-tijuana-santos-laguna/13256070,13256070
COLOMBIA 2,2025-04-20,20:00,Cartagena,Jaguares de Cordoba,2.02,3.25,3.5,https://www.radarfutebol.com/radar/jaguares-de-cordoba-real-cartagena/13358732,13358732
ECUADOR 1,2025-04-20,20:00,Delfin,Macara,2.25,3.1,3.3,https://www.radarfutebol.com/radar/delfin-macara/13378626,13378626
COLOMBIA 2,2025-04-20,20:00,Huila,Leones,1.45,4.05,6.6,https://www.radarfutebol.com/radar/leones-fc-atletico-huila/13358728,13358728
PARAGUAY 1,2025-04-20,20:15,Cerro Porteno,Sportivo Trinidense,1.67,3.6,4.75,https://www.radarfutebol.com/radar/sportivo-trinidense-cerro-porteno/13726644,13726644
BRAZIL 1,2025-04-20,20:30,Bragantino,Cruzeiro,2.25,3.2,3.4,https://www.radarfutebol.com/radar/red-bull-bragantino-cruzeiro/13473382,13473382
BOLIVIA 1,2025-04-20,20:30,Wilstermann,Academia del Balompie,1.91,3.8,3.6,https://www.radarfutebol.com/radar/academia-del-balompie-boliviano-jorge-wilstermann/13735730,13735730
ARGENTINA 1,2025-04-20,20:30,Rosario Central,Instituto,2.0,3.0,4.33,https://www.radarfutebol.com/radar/instituto-de-cordoba-rosario-central/13280699,13280699
CHILE 1,2025-04-20,21:00,Nublense,Coquimbo,2.7,3.4,2.45,https://www.radarfutebol.com/radar/nublense-coquimbo-unido/13443527,13443527
MEXICO 1,2025-04-20,22:05,Club Leon,Monterrey,2.63,3.4,2.63,https://www.radarfutebol.com/radar/club-leon-cf-monterrey/13256006,13256006
