League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Netherlands Eredivisie,2024-12-01,10:30:00,14,Twente,Go Ahead Eagles,2.2,2.38,5.5,1.57,4.11,5.36,1.33,3.25,1.03,15.0,1.21,4.25,1.7,2.05,1.75,2.0,1.15,1.19,2.4,2.14,1.0,1.98,1.11,3.09,1.42,7.0,3.15,1.2,4.2,1.37,2.93,1.63,2.19,2.02,1.74,2.6,1.46
England Premier League,2024-12-01,10:30:00,13,Chelsea,Aston Villa,2.25,2.5,4.33,1.6,4.31,4.76,1.25,3.75,1.02,21.0,1.16,5.6,1.5,2.48,1.5,2.5,1.23,1.22,2.18,1.71,1.43,1.64,1.2,2.84,1.6,9.4,2.81,1.11,4.65,1.25,3.14,1.48,2.33,1.85,1.85,2.3,1.49
Austria Bundesliga,2024-12-01,10:30:00,15,Rapid Wien,Blau-Weiß Linz,2.05,2.38,6.0,1.44,4.2,5.25,1.33,3.25,1.03,13.0,1.22,4.2,1.65,2.0,1.8,1.95,1.12,1.17,2.65,2.38,1.0,1.65,1.2,2.85,1.23,7.8,5.35,1.23,4.13,1.44,2.8,1.92,1.88,2.15,1.7,2.82,1.43
England Premier League,2024-12-01,10:30:00,13,Tottenham Hotspur,Fulham,2.2,2.6,4.33,1.57,4.48,4.8,1.22,4.0,1.01,25.0,1.13,6.4,1.36,2.99,1.5,2.5,1.22,1.2,2.26,1.86,1.29,1.95,1.29,3.24,1.55,10.0,2.92,1.03,6.85,1.11,4.6,1.24,3.22,1.46,2.38,1.8,1.9
Greece Super League,2024-12-01,10:30:00,13,Panserraikos,Asteras Tripolis,3.5,2.05,3.25,2.93,3.16,2.45,1.44,2.63,1.07,8.4,1.38,3.1,2.0,1.65,1.91,1.91,1.46,1.31,1.39,1.17,1.29,1.12,0.93,2.05,2.4,7.5,1.82,1.52,2.32,1.98,1.82,2.65,1.41,3.8,1.22,4.8,1.14
Austria Bundesliga,2024-12-01,10:30:00,15,Austria Klagenfurt,Wattens,2.75,2.2,4.0,2.0,3.2,3.2,1.4,2.75,1.05,11.0,1.3,3.4,1.83,1.8,1.7,2.05,1.33,1.25,1.72,1.14,1.13,1.29,1.08,2.37,1.6,6.8,2.75,1.3,3.4,1.54,2.38,1.95,1.85,2.5,1.5,3.4,1.26
Poland Ekstraklasa,2024-12-01,10:45:00,17,Pogoń Szczecin,Jagiellonia Białystok,2.6,2.4,3.6,2.05,3.5,3.4,1.29,3.5,1.04,10.0,1.18,4.75,1.57,2.35,1.5,2.5,1.35,1.25,1.62,2.44,2.0,1.81,0.98,2.79,1.74,6.4,2.2,1.22,3.55,1.41,2.55,1.91,2.0,2.07,1.63,2.63,1.4
Italy Serie A,2024-12-01,11:00:00,14,Parma,Lazio,4.0,2.3,2.4,3.66,3.66,1.93,1.3,3.4,1.01,16.5,1.15,4.25,1.55,2.3,1.62,2.2,1.98,1.22,1.26,1.0,1.29,1.24,1.51,2.75,2.33,6.75,1.72,1.26,3.4,1.47,2.48,1.75,1.95,2.18,1.58,2.8,1.37
Croatia Prva HNL,2024-12-01,11:00:00,15,Lokomotiva Zagreb,Istra 1961,2.6,2.1,4.5,1.91,3.4,3.9,1.44,2.6,1.0,8.2,1.33,3.1,2.0,1.8,1.83,1.83,1.2,1.25,1.85,0.63,1.0,1.54,1.02,2.56,1.49,7.7,3.45,1.31,3.15,1.55,2.29,1.92,1.79,2.47,1.48,3.3,1.29
Slovenia PrvaLiga,2024-12-01,11:00:00,17,Nafta,Celje,6.0,2.3,1.95,5.83,4.33,1.46,1.33,3.25,1.01,11.0,1.23,3.9,1.84,1.86,1.83,1.83,2.21,1.16,1.1,0.89,1.33,1.41,1.65,3.06,5.25,8.3,1.24,1.19,3.64,1.38,2.54,1.71,1.97,2.12,1.55,2.82,1.31
